city,country,customer_id,customer_name,datetime,ecommerce_website_name,failure_reason,order_id,payment_txn_id,payment_txn_success,payment_type,price,product_category,product_id,product_name,qty
Stephenmouth,Germany,b70e92be-2918-4857-8d1a-8bd925fb633b,Amanda Lam,2023-10-30T02:17:38.381Z,Flipkart,Card Expired,402e57d1-00ab-486e-86dd-e0a48744fc0a,70374145-f44e-4347-8102-143bf1476ee1,N,Card,823.43,Automobile,21ec0719-4995-4e84-9a71-92f7926abc3b,offer,10
East Cynthia,UK,09d225ec-cf8d-4472-9d3c-c6c31ea740fd,Phillip Rodriguez,2024-08-13T15:30:15.381Z,Flipkart,"",97a1eeed-a597-4b43-93fc-495f5a4dabd8,9b7ca2e0-06b3-4d67-86ee-bd6f842bd379,Y,Internet Banking,649.56,Electronics,693ada22-513b-447d-930c-d94f02da572b,start,7
Lake Antonio,Australia,12c60c67-6224-4bef-ad9a-b2582660830a,Leslie Davila,2024-07-28T06:29:15.324Z,eBay,Card Expired,a251ebbf-4b0e-415f-b49e-3da281f934e9,6f4c2dd7-8e8b-4b8a-89a8-3f672bc773e8,N,Internet Banking,189.55,Clothing,219e00d1-50d6-4f76-b247-41b2e661ce2c,raise,9
South Brandon,USA,293d2865-854e-4ff3-9913-edae262f5dd2,Mrs. Sarah Duran,2024-09-09T22:27:15.240Z,Flipkart,Insufficient Funds,e2046de4-9b3f-45b5-80df-50a023991d09,4ae54311-d3ec-4445-baa1-cb7fc5332283,N,Internet Banking,319.81,Automobile,ac87fa20-e852-4eed-b4f8-fddabf990d85,only,1
Port Thomasmouth,Germany,acb27b4b-0545-4016-924d-bc159b89672a,Ryan Herrera,2024-03-12T07:04:13.214Z,eBay,"",44d4e36d-6e09-4255-8b0e-7843ea65d332,90de9293-5cfb-4169-ab10-7a500705c20d,Y,Wallet,944.24,Clothing,30bc5a0a-bcb7-4375-9e6e-2d901a454b6d,time,5
North Christineshire,India,7c0ef590-d38c-41a3-a567-01ab6b3bad07,William Flores,2024-07-21T21:22:33.316Z,Flipkart,"",92e0595e-f026-4311-8b1b-f78c108b3eef,c267174f-406e-4128-a3c1-c60f7393f313,Y,Internet Banking,703.55,Clothing,fe5cd416-4e3a-420d-b9bc-db4a62ea8f6c,employee,9
South Kristinemouth,Canada,59d64d48-f435-47f4-a81d-f9f5467e60de,Amy Davis,2024-09-19T22:41:48.110Z,BestBuy,"",3647cf15-6718-493a-acb6-5e5ae2ff13b4,2e1f1632-0f83-4e72-bd69-456538bc1cc0,Y,Card,136.79,Electronics,6bda80b2-4b3c-4f92-9e80-2fd8585b2975,foot,1
Kathrynview,India,1a770f1d-cd9b-42db-b901-3a7e9646d524,Jocelyn Smith,2023-11-11T21:12:53.607Z,eBay,Authentication Failed,b2b61f46-e66a-43b0-b4d5-0b22547ac344,b7e2062e-7712-4c5d-97c6-ff0f8f718963,N,Card,987.83,Sports,67f8d1d6-acdf-48a2-8e8f-69dc6df7de66,Mrs,2
Carrfort,India,6af9bf0f-f0bb-48d7-81c4-2d7f64d8421c,Victoria Lester,2024-06-06T07:01:47.619Z,AliExpress,"",dd4a4eb5-28e8-4590-ba14-69d6c432f8f0,fb2cbc25-0c11-41c4-bf87-23c530ac43cc,Y,Card,918.36,Sports,7351d9e5-a806-48fc-9bd1-8f90ec4dce53,present,1
Laurafurt,Australia,881a6346-0ca4-41b2-9c64-651fd3ee73b6,Bryan Mcdonald,2024-09-07T13:54:37.732Z,AliExpress,"",727fedb5-562c-4b89-a5cd-013ddf56f1b2,90cc675c-c882-4939-a744-be1d6e609058,Y,Wallet,853.11,Sports,00baa680-b673-4030-bcae-f3fcfd840d06,kid,10
